,shannon,faith,observed_OTU,Evenness
ANNDRY,5.366750146,30.81341389,292,0.655294885
ANNH2O,5.908649494,31.92451438,266,0.733512393
ANNMUK,6.824805158,37.79320472,404,0.78824653
BOGDRY,5.756155374,26.13811431,257,0.719013906
BOGH2O,5.464263935,26.64318459,211,0.707705445
BOGMUK,7.549178786,38.45313588,405,0.871550702
TUNDRY,6.578931623,29.31675581,249,0.826498747
TUNH2O,4.305472771,22.09395273,182,0.57346704
TUNMUK,7.110433969,35.45703516,320,0.854421462
VPDRY,3.109864921,30.38917378,182,0.414218165
VPGF10,5.362252802,27.20752241,146,0.745811356
VPGF11,3.157096141,34.21017724,314,0.38061971
VPGF12,4.197303532,32.40303764,260,0.523200086
VPGF15,5.674005035,34.6721452,335,0.676441743
VPGF16,7.394833791,29.62711308,288,0.905128724
VPGF18,7.525094036,36.5345796,343,0.893497526
VPGF2,8.173900851,43.70181989,453,0.926392456
VPGF3,5.482974753,59.24065167,358,0.646286399
VPGF5,4.618098174,27.66228837,210,0.598645475
VPGF7,4.251719582,16.46172456,102,0.637207517
VPGF7B,5.337818452,30.42302155,235,0.677687674
VPGF9,6.391636241,45.51238176,295,0.779033557
VPH2O,5.33689706,35.83466721,219,0.686436428
VPMUK,6.560507183,42.42534431,237,0.83162894
VPPF1,4.506873196,15.80160439,110,0.664597276
VPPF10,7.176480817,38.16024596,410,0.826833029
VPPF11,4.356540791,19.80123504,109,0.643679395
VPPF12,5.075406438,29.85716093,253,0.635777342
VPPF13,4.505139889,24.15288433,143,0.629220789
VPPF15,6.120277833,31.01282446,205,0.796965127
VPPF16,7.116559654,28.0048267,234,0.904222346
VPPF16B,7.137251095,42.13968467,271,0.88308828
VPPF17,7.944183238,46.31911726,462,0.897470455
VPPF18,4.728877305,18.80921187,100,0.711766957
VPPF19,4.553787361,27.92167336,197,0.597449016
VPPF2,6.109785697,22.67771642,137,0.860771778
VPPF20,4.798978631,32.02291595,302,0.582513094
VPPF21,4.582450426,25.62546775,167,0.620616732
VPPF22,0.464862351,14.56215971,80,0.073531737
VPPF23,4.364866781,45.16427818,350,0.516478257
VPPF24,6.774064193,39.35783994,384,0.789061594
VPPF25,5.758847379,29.92918956,254,0.720875539
VPPF3,4.615410317,24.78391609,161,0.629581592
VPPF4,6.276386025,26.49486437,170,0.847085284
VPPF5,4.352209248,27.00041707,213,0.562685539
VPPF6,5.277978716,34.51354512,277,0.650498698
VPPF7,4.061998137,20.2118139,128,0.580285448
VPPF9,6.77275578,29.19294194,227,0.86535665
VPTAD1,6.640106256,49.99236623,284,0.814762245
VPTAD12,6.294872638,50.05776046,272,0.778349497
VPTAD18,7.22116052,58.28363374,364,0.84876996
VPTAD20,6.79804428,57.44940125,330,0.812548705
VPTAD21,6.461496753,53.84214165,272,0.798952265
VPTAD22,6.206092826,51.35815767,284,0.761507411
VPTAD25,6.909591926,60.30836505,434,0.788626551
VPTAD34,7.038808319,28.80511104,297,0.856894919
VPTAD35,7.21253292,57.45784827,349,0.853848924
VPTAD38,6.474196227,61.24479214,342,0.769103072
VPTAD4,6.735150466,44.90791491,250,0.845510025
VPTAD40,6.906516559,59.48385116,379,0.806265817
VPUPDRY,5.837384322,29.31189341,249,0.733339561
VPUPH2O,6.059523647,22.17628749,149,0.839365867
VPUPMUK,7.64158213,38.92564831,390,0.887799335
VPWF1,6.070190107,30.46201514,245,0.764831425
VPWF10,5.224929048,36.6558791,248,0.656877055
VPWF11,2.966768388,33.30696249,227,0.379064717
VPWF12,7.466722805,32.85820904,344,0.886124875
VPWF18,4.208969982,31.52586454,196,0.552742004
VPWF19,7.371565073,29.82342073,302,0.894780641
VPWF20,4.397621446,29.72914913,237,0.557455263
VPWF21,2.070424758,22.72088695,158,0.283473016
VPWF4,4.521259039,28.57489621,295,0.551065858
VPWF5,1.813620796,28.69548435,171,0.244494049
VPWF6,1.131307501,26.00081762,198,0.148283474
VPWF7,2.319195687,31.11307245,181,0.309232446
VPWF8,1.301999891,24.52953993,167,0.176334241
VPWF9,1.56373749,13.31738195,81,0.246652127
